location	GBDR7	Testing20	Incidence20	Mortality20	Vaccination20	Testing21	Incidence21	Mortality21	Vaccination21	max20_21_tests	max20_21_cases	max20_21_deaths	max20_21_peopleVaccinated	Age	GE	VA	PS	RQ	RL	CC	LEB	EYS	MYS	GNI	Gini	UP	CHE	MMR	FLB	ABR	SSP	PSE	EP	VE	Population	PD	AAG	GDP	GI	HDI	log_GDP	log_PD	log_GNI	log_MMR	GI_10
Armenia	Central Europe, Eastern Europe, and Central Asia	20009	5370.69156	95.11045346		66524	6250.437987	173.476346	31468.58896	86534.27345	11621.12955	268.5867995	31468.58896	35.7	-0.12	0.04	-0.57	0.25	-0.08	0.03	75.1	13.1	11.3	13.894	34.4	63.2	10.362705	26	47.074	21.5	23.5	97.3	55.624	38.668	2968128	102.931	-0.1	13653.74953	0.245	0.776	4.13525193171204	2.01254619207412	1.14282729453834	1.41497334797082	2.45
Slovenia	Central Europe, Eastern Europe, and Central Asia	32640	5876.300017	129.7431163	552.791305	67493	16447.40545	139.1238756	59605.0556	100133.1587	22323.70547	268.8669919	60157.84691	44.5	1.17	0.94	0.71	0.92	1.07	0.81	81.3	17.6	12.7	38.08	24.2	54.8	8.187018	7	53.401	3.8	22.3	97.2	58.361	11.196	2078723	102.619	1	38688.78339	0.063	0.917	4.58758507308343	2.01122777823402	1.58069693971244	0.845098040014257	0.63
Lithuania	Central Europe, Eastern Europe, and Central Asia	61040	5277.408283	66.76922459	362.65801	196065	14039.4563	207.8545293	70932.70956	257106.7215	19316.86458	274.6237539	71295.36757	43.5	1.06	1.01	0.87	1.09	0.99	0.81	75.9	16.6	13.1	35.799	37.3	67.9	6.457564	8	56.538	10.9	21.3	94.3	61.618	9.152	2689862	45.135	1	36974.94634	0.124	0.882	4.56790755239824	1.65451344679576	1.55387089534366	0.903089986991944	1.24
Slovakia	Central Europe, Eastern Europe, and Central Asia	59543	5039.26214	39.23461308		792352	20121.57592	266.0356341	50416.05573	851895.7035	25160.83806	305.2702472	50416.05573	41.2	0.54	0.88	0.64	0.78	0.68	0.44	77.5	14.5	12.7	32.113	25.2	53.7	6.742535	5	52.182	25.7	20	99.2	59.541	11.798	5460726	113.128	0.7	32792.55504	0.191	0.86	4.51577525614918	2.05357010926228	1.50668087930011	0.698970004336019	1.91
Romania	Central Europe, Eastern Europe, and Central Asia	24968	3305.471228	82.42988258	53.79089629	64362	6151.411675	224.7255979	28566.93398	89330.71243	9456.882903	307.1554805	28620.72488	43	-0.22	0.58	0.59	0.38	0.37	-0.03	76.1	14.3	11.1	29.497	36	54.1	5.157888	19	45.315	36.2	19.6	88.2	54.662	23.722	19127772	85.129	0.2	29908.97859	0.276	0.828	4.4758015818611	1.93007753181792	1.46977784819177	1.27875360095283	2.76
Croatia	Central Europe, Eastern Europe, and Central Asia	24968	5165.475688	96.03942712	192.6668507	67088	12357.92228	211.1397406	55162.13146	92056.14289	17523.39797	307.1791677	55354.79831	44	0.44	0.58	0.61	0.43	0.29	0.2	78.5	15.2	11.4	28.07	30.4	57.2	6.789134	8	45.446	8.7	20.5	94.6	51.182	7.271	4081657	73.726	0.5	28508.51661	0.116	0.851	4.45497462015577	1.86762067191948	1.44824241263444	0.903089986991944	1.16
Czech Republic	Central Europe, Eastern Europe, and Central Asia	39337	6701.081155	107.9765283	110.7645232	390278	16383.60126	228.9046453	63555.31088	429615.6492	23084.68241	336.8811735	63666.07541	43.3	0.96	0.98	0.92	1.24	1.06	0.59	79.38	16.78511	12.72238228	38108.56662	24.9	73.9	7.231339	3	52.939	12	20.6	100	60.559	13.681	10724553	137.176	0.9	40314.2285	0.136	0.9	4.6054583530502	2.13727813484515	4.58102261393271	0.477121254719662	1.36
Georgia	Central Europe, Eastern Europe, and Central Asia	9331	5714.396273	62.94328847		270702	17772.8981	283.810157	34270.69835	280034.4894	23487.29438	346.7534455	34270.69835	38.7	0.79	0.06	-0.43	1.11	0.29	0.6	73.77	15.27506	13.13296	14428.79984	36.4	59	7.601659	25	57.423	46.4	14.8	97.2	68.33	49.084	3979773	65.032	0.4	15014.28821	0.331	0.812	4.17650474820356	1.81312711054499	4.15923020881061	1.39794000867204	3.31
North Macedonia	Central Europe, Eastern Europe, and Central Asia	19307	4001.08323	120.1827854		53286	6804.756031	262.0205593	40470.86876	72593.85949	10805.83926	382.2033447	40470.86876	39.1	0.14	0.06	0.1	0.51	-0.06	-0.42	75.8	13.6	9.8	15.865	34.2	58.2	6.062115	7	42.986	15.7	39.2	41.8	55.094	19.028	2082661	82.6	0	16506.08548	0.143	0.774	4.21764408985828	1.91698004732038	1.20044007643643	0.845098040014257	1.43
Hungary	Central Europe, Eastern Europe, and Central Asia	23115	3347.60823	98.99148468		67379	9693.640194	307.7486137	65040.05226	90495.87292	13041.24842	406.7400984	65040.05226	43.4	0.58	0.39	0.86	0.48	0.51	0.1	76.9	15.2	12	31.329	30.6	71.6	6.87999	12	48.469	24	12.6	96.4	56.468	6.024	9634162	108.043	0.4	32622.85089	0.233	0.854	4.5135219110787	2.0335966346172	1.49594653272361	1.07918124604762	2.33
